Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Physical limitation,Tags
Standing Weight Shift,All Ages,Weight Loss,Balance & Stability,Lower,Bodyweight,Beginner,3,15-10,7-6,30-45 sec,Improves balance and weight transfer control in standing,"1. Stand with feet hip-width apart and hands on your hips or at your sides.
2. Shift your weight smoothly onto your right foot and lift your left heel slightly.
3. Shift your weight onto your left foot and repeat the weight shifts at a controlled pace.",Keep core braced and shift weight over the standing foot,4,,Limited single-leg balance,Main workout
Side-to-Side Toe Taps,40-59,Weight Loss,Balance & Stability,Lower,Bodyweight,Beginner,3,20-12,8-6,30-60 sec,Enhances lateral coordination and ankle activation,"1. Stand with feet together and knees soft, arms relaxed at your sides.
2. Step your right foot out to the side and tap your right toe lightly on the floor.
3. Return the right foot to center and step your left foot out to the side, tapping the left toe.
4. Alternate toe taps side to side at a comfortable tempo.",Tap toes side-to-side with controlled movement,3,,Ankle instability / recurrent sprains,Main workout
Seated Arm + Leg March,60+,Weight Gain,Activation/Mobility,Full,Bodyweight,Beginner,3,20-30,7-6,30-45 sec,Promotes coordinated limb movement and light cardiovascular activation,"1. Sit tall on a chair with feet flat and hands at your sides.
2. Lift your right knee and raise your left arm forward simultaneously.
3. Lower them and lift your left knee while raising your right arm.
4. Continue alternating at a steady, controlled pace.",Sit tall and lift arms and legs smoothly with controlled motion,2.8,,Reduced core stability,
Standing Arm Swings,All Ages,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,2,15-12,7-6,30-45 sec,Increases shoulder mobility and gentle upper body movement,"1. Stand tall with feet hip-width apart and knees slightly bent.
2. Swing both arms forward to shoulder height with a controlled motion.
3. Swing both arms backward past your hips while keeping your chest open.
4. Continue swinging smoothly and breathe steadily.",Swing arms with control while maintaining a slight hip hinge,2.3,,Limited shoulder range of motion,
Seated Punches (Light),60+,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,2,15-20,7-6,30-45 sec,Improves upper body coordination and promotes light aerobic effort,"1. Sit upright with feet flat and hands near your chin.
2. Extend your right arm forward in a light punch with a straight wrist.
3. Retract the right hand to the starting position and extend the left arm.
4. Alternate punches at a comfortable, relaxed pace.",Punch lightly while keeping shoulders down,2.2,,Shoulder pain (general),
Slow Step-Back Tap,40-59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,3,12-8,8-7,45-60 sec,Encourages hip extension control and safe backward stepping practice,"1. Stand tall with feet hip-width apart and hands on hips.
2. Step one foot slowly backward and tap the heel lightly on the floor.
3. Push through the front foot to return to the starting position under control.
4. Repeat with the other leg, alternating slowly and maintaining an upright posture.",Step back slowly and keep weight balanced over the front foot,2,,Limited single-leg balance,Main workout
Standing Knee Extension Pulse,All Ages,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-10,8-6,30-45 sec,Strengthens quadriceps activation and promotes knee joint stability,"1. Stand tall with feet hip-width apart and shift weight onto one leg.
2. Lift the opposite knee to about hip level and extend the lower leg forward to near straight.
3. Pulse the extended leg with small controlled movements, then lower and switch sides.",Keep the standing leg stable and extend the knee in small controlled pulses,2.8,,Knee pain (general / chronic),
Seated Torso Twist (Small Range),60+,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,2,15-10,7-6,30-45 sec,Maintains spinal mobility and improves trunk rotation awareness,"1. Sit upright on a stable seat with feet flat and hands lightly on your chest.
2. Brace your core and rotate your torso a few degrees to one side using a small controlled movement.
3. Return to center and repeat to the other side, keeping movements small and steady.",Sit tall and twist only from the ribs within a small range,2.3,,Lower back pain (non-specific),
Ankle Circles,All Ages,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,2,20-10,7-6,30-45 sec,Enhances ankle range of motion and circulation around the foot,"1. Sit with one leg extended and the other foot flat for support.
2. Lift the extended foot slightly off the ground and point the toes.
3. Rotate the ankle slowly in full circles, then reverse direction.",Rotate the ankle slowly with relaxed toes,4,,Ankle instability / recurrent sprains,Warmup
Seated Hip Openers,60+,Weight Loss,Flexibility / Stretching,Lower,Bodyweight,Beginner,3,15-10,7-6,30-45 sec,Promotes hip flexibility and eases movement into daily activities,"1. Sit upright on the floor with knees bent and feet together.
2. Pull the feet toward the groin and let the knees fall outward.
3. Press gently on the inner thighs with your elbows to increase the opening.
4. Hold the position, then release and switch foot placement if desired.",Open the hip slowly while keeping the spine neutral,2.4,,Hip stiffness / limited hip mobility,
Standing Hip Extension (Short Range),40-59,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-10,8-6,30-60 sec,Improves posterior hip activation and standing balance,"1. Stand tall with feet hip-width apart and hands on hips or a support.
2. Shift weight onto one leg and keep the standing knee soft.
3. Lift the other leg straight back a few inches using the glute, keeping hips square.
4. Lower the leg with control and repeat, then switch sides.",Keep hips square and core braced as you extend the leg,2,,Limited single-leg balance,
Shoulder Rolls,All Ages,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,15-10,7-6,20-40 sec,Promotes shoulder mobility and upper back relaxation,"1. Stand tall with feet hip-width apart and relax your arms by your sides.
2. Inhale and lift both shoulders toward your ears, then exhale and roll them back and down in a smooth circle.
3. Repeat the circular motion three to five times in the same direction with controlled breathing.
4. Reverse the direction and perform the same smooth rolls three to five times.",Roll shoulders slowly with controlled range and upright posture,4,,Limited shoulder range of motion,Warmup
Neck Side Glide,60+,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,2,12-8,7-6,20-40 sec,Enhances lateral neck mobility and segmental movement awareness,"1. Stand tall with feet hip-width apart and keep your chin level.
2. Gently slide your right ear toward your right shoulder without lifting the opposite shoulder.
3. Return to center and repeat the glide to the left for the same count.",Keep chin tucked and glide the neck laterally with slow controlled movement,4,,Neck pain,Warmup
Standing Pelvic Tilts,40-59,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,3,15-10,7-6,30-60 sec,Improves pelvic control and low back movement coordination,"1. Stand with feet hip-width apart, knees soft, and place hands on your hips or lower abdomen.
2. Tuck your pelvis under by engaging your lower abdominal muscles and flattening your lower back.
3. Release the tilt by tilting your pelvis slightly forward to return to a neutral spine.
4. Repeat the controlled posterior-anterior tilts for the desired repetitions.",Engage lower abs and tilt the pelvis with slow controlled motion,2.2,,Lower back pain (non-specific),Warmup
Seated Spinal Flex-Extend,All Ages,Weight Gain,Activation/Mobility,Core,Bodyweight,Beginner,3,12-8,7-6,30-60 sec,Encourages spinal mobility and controlled flexion extension sequencing,"1. Sit tall on the floor with knees bent and feet flat.
2. Place hands behind your head or across your chest.
3. Exhale and round your spine, drawing your chin toward your chest to flex.
4. Inhale and arch your upper back, lifting your chest and gaze to extend.",Start from the thoracic spine and move with a long neutral neck,4,,Lumbar stiffness / restricted spinal mobility,
Wrist Mobility Flow,60+,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,2,15-10,7-6,20-40 sec,Increases wrist range of motion and forearm coordination,"1. Kneel and place palms on the floor shoulder-width apart with fingers pointing forward.
2. Rock your hips back to feel wrist extension, then shift forward to load wrist flexion.
3. Turn fingers outward and inward while keeping palms grounded to change angles.
4. Make slow circular motions with each wrist through a comfortable range.",Keep elbows soft and move wrists through a full comfortable range with control,4,,Wrist pain / limited wrist mobility,Warmup
Standing Calf Pump,40-59,Weight Loss,Activation/Mobility,Lower,Bodyweight,Beginner,3,20-12,8-7,30-60 sec,Enhances calf muscle activation and lower leg circulation,"1. Stand tall with feet hip-width apart and weight evenly distributed.
2. Shift onto the balls of your feet and lift your heels as high as possible.
3. Pause briefly at the top and squeeze your calf muscles.
4. Slowly lower your heels back to the floor and repeat at a steady tempo.",Keep knees slightly bent and control heel rise and descent with steady tempo,2.6,,Ankle pain,
Breathing with Arm Raise,All Ages,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,8-6,7-6,30-45 sec,Improves diaphragmatic breathing and ribcage expansion with overhead reach,"1. Stand tall with feet hip-width apart and arms relaxed at your sides.
2. Inhale deeply and raise your arms smoothly overhead with palms facing each other.
3. Exhale slowly while lowering your arms back to your sides.
4. Repeat the movement in sync with your breath for several cycles.",Inhale to raise arms and exhale to lower while keeping ribs down and core engaged,2,,Limited overhead reach,
Seated Hamstring Stretch,60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,2,2-1,7-6,60-90 sec,Increases hamstring flexibility and posterior thigh extensibility,"1. Sit on the floor with one leg extended and the other knee bent with the sole against the inner thigh.
2. Flex the extended foot and hinge forward from the hips while keeping your spine long.
3. Reach toward the toes without forcing the stretch and breathe steadily; then switch legs.",Maintain controlled movement and proper alignment throughout,4,,Lower back pain (non-specific),Cooldown
Standing Calf Stretch,All Ages,Weight Loss,Flexibility / Stretching,Lower,Bodyweight,Beginner,2,2-1,7-6,60-90 sec,Promotes ankle dorsiflexion range and gastrocnemius flexibility,"1. Stand facing a wall and place your hands on it at shoulder height.
2. Step one foot back with the heel down and keep the back leg straight.
3. Lean forward, bend the front knee, and press the back heel into the floor; then switch legs.",Maintain controlled movement and proper alignment throughout,4,,Ankle pain,Cooldown
Chest Opener (Wall),40-59,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,2,20-30,7-6,30-60 sec,Improves chest flexibility and posture,"1. Stand beside a wall and place your palm and inner forearm flat on the wall at shoulder height.
2. Step one foot forward and rotate your torso away from the wall.
3. Drop your shoulder blades and open your chest toward the room.
4. Hold the stretch for several breaths then return to neutral.",Keep shoulder blades gently retracted and avoid arching the lower back,4,,Poor posture (rounded shoulders / forward head),
Neck Flexion Stretch,60+,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,2,15-10,7-6,30-45 sec,Increases neck mobility and reduces stiffness,"1. Sit or stand tall with shoulders relaxed.
2. Gently tuck your chin toward your chest to stretch the back of your neck.
3. Hold briefly and lift your head back to neutral.",Tuck the chin slightly and keep the shoulders relaxed,4,,Neck pain,Cooldown
Overhead Side Stretch,All Ages,Weight Loss,Flexibility / Stretching,Core,Bodyweight,Beginner,2,20-30,7-6,30-60 sec,Enhances lateral spine mobility and side torso flexibility,"1. Stand tall and reach both arms straight overhead.
2. Clasp your hands or press your palms together.
3. Lean your torso slowly to one side while keeping your hips stable.
4. Hold briefly, return to center, and repeat on the other side.",Lengthen through the side body and avoid shrugging the shoulders,2,,Limited overhead reach,Cooldown
Seated Figure-4 (Shallow),40-59,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,2,20-30,8-6,30-60 sec,Improves hip external rotation and glute flexibility,"1. Sit tall at the edge of a chair with both feet flat and knees bent.
2. Cross your right ankle over your left knee and flex the right foot.
3. Lean forward slightly from the hips until you feel a gentle stretch in the right hip; hold and then repeat on the other side.",Sit tall with a neutral spine and hinge from the hips without rounding,4,,Hip stiffness / limited hip mobility,
Seated Spinal Stretch,60+,Weight Gain,Flexibility / Stretching,Core,Bodyweight,Beginner,2,20-30,7-6,30-60 sec,Promotes spinal mobility and gentle trunk lengthening,"1. Sit tall on a chair or the floor with feet flat and knees bent.
2. Place your right hand behind you on the seat and your left hand on your right knee.
3. Rotate your torso to the right using your hands for gentle leverage; hold and then repeat on the other side.",Keep the spine long and hinge forward from the hips while keeping shoulders relaxed,4,,Lower back pain (non-specific),Cooldown
Standing Quad Stretch (Supported),All Ages,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,2,20-30,8-6,30-60 sec,Increases quadriceps flexibility and knee range of motion,"1. Stand tall beside a wall or sturdy surface and place one hand on it for support.
2. Bend your right knee and reach back to grasp your right ankle or foot.
3. Keep your knees close together and your torso upright.
4. Tuck your hips slightly forward and press your foot gently into your hand; hold and then switch sides.",Keep knees aligned and pelvis neutral while gently pulling the heel toward the glute,4,,Knee pain (general / chronic),Cooldown
Diaphragmatic Breathing,60+,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,3,10-6,7-6,15-30 sec,Improves breath control and promotes relaxation,"1. Lie on your back or sit upright with shoulders relaxed.
2. Place one hand on your chest and the other on your abdomen.
3. Inhale slowly through your nose and push the abdomen outward so the hand on your abdomen rises while the chest stays still.
4. Exhale slowly through pursed lips and feel the abdomen fall.",Breathe deeply into the belly with relaxed shoulders and minimal chest movement,4,,Thoracic stiffness (upper-back rigidity),
Full Body Reach Stretch,All Ages,Weight Loss,Flexibility / Stretching,Full,Bodyweight,Beginner,2,10-8,7-6,30-60 sec,Enhances overall flexibility and full body lengthening,"1. Stand with feet hip-width apart and arms relaxed at your sides.
2. Reach both arms overhead, interlace fingers or keep palms facing up, and lengthen through the spine.
3. Hold the stretch while breathing calmly, then lower your arms back to your sides.",Reach overhead with core engaged and avoid arching the lower back,2,,Limited overhead reach,Cooldown
Single-Leg Stand (Support),40-59,Weight Loss,Balance & Stability,Lower,Bodyweight,Beginner,3,20-30,8-7,30-60 sec,Improves balance and ankle stability with light support,"1. Stand beside a wall or sturdy chair and place one hand lightly on the support.
2. Shift your weight onto the foot nearest the support and lift the other foot a few inches off the floor.
3. Keep your hips level, spine tall, and gaze forward while balancing.
4. Lower the lifted foot with control and repeat on the opposite side.",Maintain controlled movement and proper alignment throughout,4,,Limited single-leg balance,Main workout
Tandem Stance Hold,60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,3,20-30,8-7,30-60 sec,Challenges balance and coordination through narrowed base of support,"1. Stand upright with one foot directly in front of the other so the heel of the front foot touches the toes of the back foot.
2. Place your arms at your sides or extend them out to the sides for balance.
3. Keep your gaze fixed on a point straight ahead and engage your core.
4. Hold this position for the chosen duration while keeping steady breathing.","Stack feet heel-to-toe, keep hips level, and maintain steady breathing",4,"Hypertension, Coronary Artery Disease",Limited single-leg balance,Main workout
Standing Heel Raises,All Ages,Weight Gain,Strength,Lower,Bodyweight,Beginner,3,15-12,8-6,30-60 sec,Strengthens calf muscles and improves ankle stability,"1. Stand with feet hip-width apart and hands on hips or at your sides.
2. Shift your weight onto the balls of your feet and lift your heels as high as possible.
3. Pause at the top and squeeze your calf muscles.
4. Lower your heels slowly back to the floor and repeat.",Keep a neutral spine and lift heels slowly with controlled movement,2.8,,Ankle instability / recurrent sprains,Main workout
Weight Shift + Reach,40-59,Weight Maintenance,Balance & Stability,Full,Bodyweight,Beginner,3,12-10,7-6,30-45 sec,Enhances dynamic balance and lateral weight transfer,"1. Stand with feet hip-width apart and knees slightly bent.
2. Shift your weight onto your right foot and lift your left heel a few centimeters off the floor.
3. Reach your left arm forward and slightly across your body while keeping your torso stable.
4. Return to center and repeat on the opposite side.",Shift weight through the standing foot and reach without rotating the hips,3,,Limited single-leg balance,Main workout
Seated Balance Reach,60+,Weight Loss,Balance & Stability,Core,Bodyweight,Beginner,3,15-12,7-6,30-45 sec,Improves seated core control and arm reach coordination,"1. Sit on a firm chair with feet flat and hands on thighs.
2. Shift weight onto one sit bone and lift the opposite foot off the floor.
3. Reach the opposite arm forward at shoulder height while keeping a tall spine.
4. Lower the foot and arm with control and repeat on the other side.","Sit tall, brace your core, and reach while keeping hips level",4,,Reduced core stability,Main workout
Wall-Supported March,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,3,20-30,8-6,45-60 sec,Promotes single leg balance and lower limb endurance,"1. Stand facing a wall and place fingertips lightly on it for balance.
2. Shift weight onto one foot and lift the other knee to hip height.
3. Hold briefly with a tall posture and steady core.
4. Lower the leg and march on the opposite side while maintaining light fingertip contact.","Stand upright, march slowly with controlled knee lift and relaxed shoulders",2,"Hypertension, Coronary Artery Disease",Limited single-leg balance,Main workout
Standing Arm Reach Balance,40-59,Weight Gain,Balance & Stability,Full,Bodyweight,Beginner,3,12-8,7-6,30-45 sec,Enhances postural control and shoulder mobility during balance tasks,"1. Stand tall with feet hip-width apart and hands at your sides.
2. Shift weight onto one foot and extend the opposite arm overhead.
3. Reach forward with the same-side arm while keeping the standing knee soft.
4. Return to center and repeat on the other side with controlled movement.",Engage your core and reach with controlled arm movement while maintaining balance,3,,Limited overhead reach,Main workout
Sit-to-Stand Hold (Partial),60+,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,3,12-8,8-7,60-90 sec,Builds functional leg strength and improves transitional movement control,"1. Sit on a sturdy chair with feet flat and hip-width apart.
2. Lean slightly forward and push through your heels to lift hips halfway off the seat.
3. Squeeze your glutes and hold the halfway position.
4. Lower slowly back to the seat with control.","Drive through your heels, keep chest up, and pause with knees slightly bent",2.5,"Hypertension, Coronary Artery Disease",Knee pain (general / chronic),Main workout
Eyes-Closed Stance (Support),All Ages,Weight Loss,Balance & Stability,Core,Bodyweight,Beginner,3,20-10,8-7,45-60 sec,Challenges sensory integration to improve balance confidence,"1. Stand tall with feet hip-width apart near a stable surface.
2. Lightly place fingertips on the surface and close your eyes.
3. Keep weight evenly distributed and maintain a steady breath.
4. Open your eyes, step slightly away from the surface, and reset your posture.","Distribute weight evenly, lightly touch the support, and breathe steadily with eyes closed",4,,Limited single-leg balance,Main workout
Wall Push-Up Hold,All Ages,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,3,12-8,8-7,60-90 sec,Develops upper body strength and scapular control,"1. Stand facing a wall with feet hip-width and arms extended, palms on the wall at chest height.
2. Bend your elbows and lean your chest toward the wall while keeping your body straight.
3. Stop just before contact and hold the halfway position, engaging your core.
4. Push back to the starting position with controlled movement.",Keep a straight line from head to heels and control the push with steady breathing,3,Hypertension,Rotator cuff weakness / instability,Main workout
Seated Chest Squeeze,60+,Weight Gain,Activation/Mobility,Upper,Bodyweight,Beginner,3,15-12,7-6,30-45 sec,Strengthens chest and improves shoulder blade adduction control,"1. Sit upright on a chair with feet flat and knees at 90 degrees.
2. Bring palms together in front of your chest with elbows out.
3. Press palms firmly into each other and contract your chest muscles.
4. Hold the squeeze with steady pressure and then slowly release.","Sit upright, gently squeeze shoulder blades together, and exhale as you contract",2.3,Hypertension,Poor posture (rounded shoulders / forward head),
Standing Arm Press Down,40-59,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,3,12-8,8-6,60-90 sec,Improves shoulder and triceps endurance and scapular control,"1. Stand facing a wall with feet hip-width apart.
2. Place palms on the wall at chest height with fingers pointing down.
3. Push your palms down into the wall as if trying to move it and engage your triceps.
4. Maintain steady downward pressure and then relax.",Brace your core and press down with controlled scapular movement,2.5,,Shoulder pain (general),
Wall Shoulder Isometric,All Ages,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,20-30,7-6,60-90 sec,Enhances shoulder stability and postural alignment through isometric activation,"1. Stand sideways close to a wall with the target shoulder aligned at shoulder height.
2. Place the palm of that hand flat on the wall and keep the elbow slightly bent.
3. Push the wall with your shoulder through your hand without moving your body and hold the tension.",Press your palm into the wall keeping shoulders down and spine neutral,2.8,Hypertension,Rotator cuff weakness / instability,
Seated Overhead Reach Hold,60+,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,3,15-30,7-6,45-60 sec,Promotes thoracic extension and overhead range of motion,"1. Sit tall on a chair or the floor with feet flat and knees at about 90 degrees.
2. Reach both arms straight overhead with palms facing each other and shoulders relaxed.
3. Engage the core and lengthen through the spine while holding the reach.
4. Lower the arms with control and repeat.",Sit tall and reach overhead without arching your lower back,2,Hypertension,Limited overhead reach,
Standing Biceps Tension Curl,40-59,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,3,12-8,8-7,60-90 sec,Builds elbow flexor endurance and increases upper arm muscle activation,"1. Stand tall with feet hip-width and arms relaxed at your sides.
2. Bend both elbows to about 90 degrees with palms facing up and tense the biceps.
3. Curl your forearms slowly toward your shoulders while maintaining strong internal tension.
4. Lower with control and reset to repeat.",Keep elbows by your sides and curl with slow controlled tension,2.5,Hypertension,Elbow pain,
Standing Core Brace,All Ages,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,3,20-30,7-6,30-60 sec,Improves core stability and enhances balance during functional tasks,"1. Stand with feet hip-width, knees slightly bent, and arms relaxed by your sides.
2. Draw your navel toward your spine and brace the abdominal muscles firmly.
3. Maintain steady breathing while keeping the brace and tall posture.
4. Release the brace slowly and reset to repeat.",Draw your belly button to your spine and breathe evenly,3,Hypertension,Reduced core stability,
Seated Triceps Press,60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,3,12-8,8-7,60-90 sec,Strengthens triceps and improves elbow extension control,"1. Sit on the floor with knees bent and feet flat.
2. Place hands behind hips with fingers pointing away and elbows close to sides.
3. Press through palms to lift hips a few inches, engaging triceps.
4. Lower hips under control to the floor while keeping elbows tucked.",Keep upper arm vertical and extend at the elbow with control,3,,Limited overhead reach,Main workout
Wall Plank (High Angle),40-59,Weight Loss,Balance & Stability,Core,Bodyweight,Beginner,3,20-40,8-6,60-90 sec,Increases core endurance and shoulder stability with reduced joint loading,"1. Stand facing a wall at arm's length and place palms flat at shoulder height.
2. Step feet back until body forms a straight line from head to heels with arms extended.
3. Hold the straight-body position, brace core, and keep shoulders over wrists.",Hold a straight line from head to heels and avoid letting hips sag,2.8,"Hypertension, Coronary Artery Disease",Shoulder pain (general),Main workout
Standing Isometric Row Pull,All Ages,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,20-10,8-7,60-90 sec,Enhances upper back strength and promotes scapular retraction for better posture,"1. Stand tall with feet hip-width and hinge slightly at the hips.
2. Bend elbows to 90 degrees and pull hands toward ribs as if rowing.
3. Squeeze shoulder blades together and hold the contracted position.
4. Maintain upright posture and steady breathing while holding the pull.",Squeeze shoulder blades together and resist rotation in your torso,3.2,"Hypertension, Coronary Artery Disease",Rotator cuff weakness / instability,
Seated March (Low Lift),60+,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,2,20-30,7-6,30-45 sec,Improves hip flexor activation and boosts circulation with low impact movement,"1. Sit tall on a chair with feet flat and hands on your thighs.
2. Lift your right knee a few inches toward your chest while keeping your ankle relaxed.
3. Lower your right foot to the floor and immediately lift your left knee the same way.
4. Continue alternating knees in a steady, low marching rhythm.",Keep pelvis still and lift each knee slowly without rocking,2.6,,Hip stiffness / limited hip mobility,
Side Toe Tap (Minimal Bend),40-59,Weight Loss,Balance & Stability,Lower,Bodyweight,Beginner,3,15-12,7-6,30-45 sec,Improves lateral balance and coordination,"1. Stand tall with feet hip-width apart and knees slightly bent.
2. Shift your weight to your left foot and extend your right foot outward to lightly tap the toes to the side.
3. Bring your right foot back under control to the starting position.
4. Repeat the same motion to the other side, alternating side toe taps.",Keep hips level and core braced as you tap with a slight knee bend,2.6,,Limited single-leg balance,Main workout
