,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value
12,Squat Pulses,All Ages,Weight gain,Strength,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,12–15,7–8,30–45 sec,Increases quadriceps and glute endurance through sustained low range muscular tension,"1. Stand feet shoulder-width and lower into a shallow squat.
2. Pulse up and down a few inches by pushing through the heels.
3. Keep chest lifted and knees aligned over the toes.",Keep weight in the heels and maintain a neutral spine,4
13,Single-Leg Stand (Unassisted),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,10–20,6–7,30–60 sec,Enhances single leg balance and ankle stability through proprioceptive challenge,"1. Stand tall and shift weight onto one foot.
2. Lift the other foot slightly off the ground and bend the supporting knee.
3. Hold balance with hips level and focus on a fixed point.",Keep hips level and fix your gaze to stabilize balance,2.5
14,Frogger Jumps,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,8–12,7–9,60–90 sec,Develops explosive lower body power and coordination with dynamic full body movement,"1. Start in a low squat with hands on the floor between your feet.
2. Jump both feet back into a plank and then immediately jump them back toward your hands.
3. Explode upward into a small jump as you reach the squat.
4. Land softly back into the low squat and repeat.",Land softly with knees bent and absorb through the hips,6
15,Butt Kicks (Running),All Ages,Weight loss,Cardio,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,20–30,6–7,30–45 sec,Promotes hamstring activation and running cadence while elevating heart rate,"1. Stand tall and begin jogging in place with light, quick steps.
2. Bend each knee and kick the heel toward the glutes in a fast rhythm.
3. Keep torso upright and use arms for balance while alternating legs.",Drive heels toward glutes while maintaining an upright posture,6.5
16,Lateral Lunges (Deep),All Ages,Weight gain,Mobility,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Improves lateral hip mobility and strengthens adductors and glute muscles,"1. Stand with feet hip-width and take a wide step to the right.
2. Push hips back and bend the right knee as you lower into a deep lateral lunge.
3. Keep the left leg straight with the foot pointing forward and the chest upright.
4. Push through the right heel to return to center and repeat on the other side.",Maintain controlled movement and proper alignment throughout,4.5
17,Deep Bench Step-Ups,60+,Weight gain,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Builds unilateral leg strength and functional balance through controlled stepping motion,"1. Stand facing a sturdy bench and place one foot fully on the bench.
2. Press through the planted foot and drive the opposite knee up to stand tall on the bench.
3. Lower the opposite foot back to the floor with control.
4. Repeat leading with the same leg then switch sides after desired reps.",Place the full foot on the bench and drive through the heel to stand,6
18,Burpees (Modified),All Ages,Weight loss,Cardio,Full,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,7–9,60–90 sec,Provides full body conditioning that boosts cardiovascular fitness and muscular endurance,"1. Stand tall and squat down placing hands on the floor.
2. Step one foot back then the other into a high plank position.
3. Step both feet forward toward your hands and stand up.
4. Finish by reaching arms overhead or performing a small jump.",Move deliberately and maintain a neutral spine during each transition,6.5
19,Seated Leg Extension (Rapid),60+,Weight gain,Strength,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,12–15,6–8,45–60 sec,Increases quadriceps power and endurance through rapid isolated knee extension,"1. Sit tall on a chair or bench with knees bent and feet flat.
2. Rapidly extend one leg until it is straight, then lower it back down with control.
3. Alternate legs quickly while maintaining an upright posture.",Control the tempo and avoid locking the knee at full extension,3.5
20,Cossack Squats,40–59,Weight Maintenance,Mobility,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,6–10,7–8,60–90 sec,Enhances hip mobility and strengthens adductors through deep lateral squat movement,"1. Stand with feet wider than hip-width and toes pointing forward.
2. Shift your weight to one side and bend the knee while keeping the other leg straight with toes up.
3. Lower your hips toward the bent knee while keeping chest lifted.
4. Push through the working heel to return to center and repeat on the other side.",Maintain controlled movement and proper alignment throughout,4.5
21,Plie Squats,All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Builds lower-body strength and improves hip and inner thigh mobility,"1. Stand with feet wider than hip-width and turn toes outward.
2. Lower hips down and back into a deep squat while keeping chest tall.
3. Press knees out over toes and pause at the bottom.
4. Push through your heels to return to standing.",Keep knees tracking over toes and chest lifted with core engaged,4.5
22,Skipping Rope (Simulated),40–59,Weight loss,Cardio,Full,Bodyweight,Intermediate,Knee pain (general / chronic),3,60–90,7–8,30–60 sec,Boosts cardiovascular fitness and coordination,"1. Stand tall with feet together and hold hands near hips as if holding rope handles.
2. Rotate wrists to swing an imaginary rope and jump a few centimeters off the ground.
3. Land softly on the balls of your feet with knees slightly bent.
4. Continue rhythmic jumps while maintaining a steady tempo.",Land softly with knees slightly bent and maintain an upright tall posture,8
23,Skater Hops (Low),All Ages,Weight loss,Balance & Stability,Full,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Enhances lateral power and single-leg balance,"1. Stand on one foot with a slight bend in the supporting knee.
2. Push off laterally and hop to the opposite foot while swinging your arms.
3. Land softly with a slight knee bend and immediately hop back.
4. Keep your body low and alternate sides with controlled, quick reps.",Maintain controlled movement and proper alignment throughout,6.5
24,Walking on Incline,60+,Weight loss,Cardio,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,8–12,6–7,30–60 sec,Increases cardiovascular endurance and lower leg muscle engagement,"1. Set the treadmill to a moderate incline and step on with good posture.
2. Walk with a steady, controlled stride while keeping shoulders relaxed.
3. Lean slightly forward from the ankles and swing your arms as you walk.","Maintain a slight forward lean from the ankles, tall spine, and short controlled strides",4.8
25,Kneeling Hip Flexor Stretch,60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Knee pain (general / chronic),2,30–60,6–7,30–60 sec,Improves hip extension and helps maintain upright posture,"1. Kneel with one knee on the ground and the other foot planted in front.
2. Tuck your pelvis and shift your hips forward until you feel a stretch in the front hip.
3. Keep your torso upright and hold the position.
4. Switch legs and repeat the same movement.",Tuck your pelvis and keep a neutral spine while breathing steadily into the stretch,2.5
26,Bear Crawls,40–59,Weight gain,Strength,Full,Bodyweight,Intermediate,Knee pain (general / chronic),3,20–30,7–8,60–90 sec,Develops core stability and total body coordination,"1. Start on hands and knees and lift your knees a few inches off the ground.
2. Keep hips low and move one hand and the opposite foot forward.
3. Continue alternating hands and feet to crawl forward.
4. Maintain small, controlled steps and a steady pace.","Keep a flat back by holding hips low, core braced, and shoulders stacked over hands",7
27,Prone Leg Curls (Fast),60+,Weight Maintenance,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,12–15,7–8,60–90 sec,Trains hamstring power and posterior chain activation,"1. Lie face down and place your heels under a curl pad or a resistance band.
2. Rapidly bend your knees to curl your heels toward your glutes.
3. Extend your legs back to the start position with control.
4. Repeat the curl movement at a brisk tempo.",Press hips into the bench and control each curl without arching the lower back,5.5
28,Standing Calf Raises (Fast),60+,Weight Maintenance,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,12–20,7–8,45–60 sec,Builds calf endurance and enhances ankle stability,"1. Stand with feet hip-width apart and shift weight onto the balls of your feet.
2. Quickly rise onto your toes, lifting your heels as high as possible.
3. Lower your heels back down under control and repeat rapidly.","Use a controlled tempo, avoid bouncing, and keep weight centered over the forefoot",3.5
29,Low Gravity Squat,All Ages,Weight gain,Strength,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,10–15,6–7,60–90 sec,Improves squat mechanics and builds lower-body control,"1. Stand with feet shoulder-width apart and toes pointing forward.
2. Lower your hips a small distance while keeping your chest upright.
3. Push through your heels to return to standing and repeat controlled shallow reps.","Sit back through the hips, keep chest up, and maintain core tension throughout the squat",4
30,Wide-Stance Sumo Squat,40–59,Weight gain,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,7–9,90–120 sec,Targets inner thigh and glute strength while increasing hip mobility,"1. Stand with feet wider than shoulder-width and toes turned outward.
2. Lower your hips down between your legs while keeping your chest lifted.
3. Press your knees outward so they track over your toes.
4. Drive through your heels to stand and squeeze your glutes at the top.","Drive through the heels, keep knees tracking over toes, and maintain an upright chest",5
31,"Wall Sits ",All Ages,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,30–45,6–8,60–90 sec,Builds isometric lower body strength and muscular endurance,"1. Stand with your back against a wall and feet shoulder-width apart a short distance from the wall.
2. Slide your back down the wall and lower until your thighs are deeper than parallel and knees track over ankles.
3. Hold your weight in your heels and keep your chest lifted while maintaining the deep position.
4. Press through your feet to stand back up and repeat.",Keep knees aligned over ankles and weight in heels,3.5
32,Marching in Place (High),60+,Weight Maintenance,Cardio,Full,Bodyweight,Intermediate,Knee pain (general / chronic),3,30–60,6–7,30–60 sec,Boosts cardiovascular activity while enhancing coordination and balance,"1. Stand tall with feet hip-width and arms bent at the sides.
2. Lift your right knee high toward hip level while driving your left arm forward, then switch sides.
3. Continue alternating knees rapidly with light contacts on the balls of your feet.",Stay tall and lift knees with controlled tempo,4.5
33,"Child’s Pose ",60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Knee pain (general / chronic),2,30–60,6–7,30–60 sec,Enhances spinal mobility and encourages muscular relaxation,"1. Kneel on the floor and sit back on your heels with toes touching.
2. Spread your knees wide and fold your torso forward over your thighs.
3. Reach your arms forward and rest your forehead on the floor, holding the position.",Keep spine long and breathe slowly into the stretch,2
34,Standing Side Leg Raises,60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,12–15,6–8,30–45 sec,Strengthens hip abductors and improves lateral stability,"1. Stand tall next to a support and shift your weight onto one leg.
2. Lift the other leg straight out to the side with toes pointed forward and hip level.
3. Lower the leg with control back to start and repeat, then switch sides.",Lift with control and avoid leaning the torso,3
35,Box Jumps (Low),40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,6–8,7–9,90–120 sec,Develops explosive power and improves lower body coordination,"1. Stand facing a low box with feet shoulder-width apart.
2. Bend your knees slightly and swing your arms back as you prepare to jump.
3. Explode upward and land softly on the box with knees bent.
4. Step down carefully one foot at a time and reset.",Land softly with knees bent and hips back to absorb impact,7
36,Jump Squats,All Ages,Weight loss,Cardio,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,8–10,7–9,90–120 sec,Increases leg power and enhances anaerobic capacity,"1. Stand with feet shoulder-width apart and lower into a squat.
2. Explode upward into a jump, driving through your heels and reaching your arms overhead.
3. Land softly back into a squat with knees bent and repeat.",Keep chest up and land softly with knees bent,7.5
37,Bulgarian Split Squats,40–59,Weight gain,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–10,7–9,90–120 sec,Improves unilateral leg strength and balance under load,"1. Stand a couple of feet in front of a bench and place the top of one foot on the bench behind you.
2. Keep your torso upright and lower your hips until your front thigh is near parallel to the floor.
3. Press through the front heel to raise back up to standing.
4. Repeat for reps then switch legs.",Keep front knee tracking over toes and torso upright,5.5
38,Reverse Lunges (Deep),All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,10–12,7–8,60–90 sec,Enhances posterior chain strength and hip stability,"1. Stand tall with feet hip-width apart and take a controlled step backward.
2. Bend both knees and lower your body until the front thigh is near parallel and the back knee approaches the floor.
3. Push through the front heel to return to standing and switch sides.",Step back with control and keep torso upright with front knee over midfoot,5
39,Sprints,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Knee pain (general / chronic),4,6–8,8–9,120–180 sec,Boosts high intensity cardiovascular fitness and speed development,"1. Stand tall with a slight forward lean and prepare to drive off the balls of your feet.
2. Sprint forward with maximal effort using quick, powerful strides and active arm drive.
3. Maintain top speed for the set distance or time, then decelerate gradually.",Lean slightly from the ankles and drive arms with relaxed shoulders,11
40,Broad Jumps,All Ages,Weight Maintenance,Strength,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,5–8,7–9,90–120 sec,Improves horizontal power and coordination for whole body explosiveness,"1. Stand with feet hip-width and swing your arms back while bending your knees.
2. Explode forward as you extend your hips and knees, driving through your toes.
3. Land with both feet together and absorb the impact by bending your knees.
4. Reset your stance and prepare for the next jump.",Land with hips back and knees soft to absorb force,6.5
41,Speed Skaters,40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,10–15,6–8,60–90 sec,Improves lateral power and dynamic balance,"1. Stand with feet hip-width and knees slightly bent.
2. Push off one leg to leap sideways while swinging the other leg behind.
3. Land softly on the opposite foot with a bent knee and neutral spine.
4. Immediately push off that foot to leap back to the other side.",Land softly with chest up and knees bent,6
42,Star Jumps,40–59,Weight loss,Cardio,Full,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,6–8,60–90 sec,Boosts cardiovascular fitness and explosive lower body power,"1. Stand tall with feet together and arms at your sides.
2. Jump up while throwing your arms overhead and spreading your legs wide.
3. Land softly with knees bent and bring arms and legs back together.",Brace your core and land softly with bent knees,6.5
43,Tuck Jumps (Modified),40–59,Weight loss,Cardio,Full,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Develops explosive leg power with reduced impact,"1. Stand with feet hip-width and hands on hips or at chest.
2. Jump slightly and bring both knees toward your chest while keeping a controlled height.
3. Land softly with knees bent and reset for the next rep.",Drive knees up and land with controlled absorption,6
44,Surfers (Pop-ups),All Ages,Weight Maintenance,Balance & Stability,Full,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,6–8,60–90 sec,Trains core stability and quick transitional movement,"1. Start in a high plank or push-up position.
2. Push up and bring one foot forward next to the same-side hand into a low lunge.
3. Quickly jump to switch feet so the other foot comes forward.
4. Return hands to the ground and continue alternating with controlled tempo.",Keep a neutral spine and control your foot placement,5.5
45,Side Plank Leg Lifts,40–59,Weight gain,Strength,Core,Bodyweight,Intermediate,Knee pain (general / chronic),3,10–15,6–7,30–60 sec,Strengthens obliques and hip abductors for improved lateral stability,"1. Lie on your side and prop your upper body on your forearm.
2. Lift your hips so your body forms a straight line from head to feet.
3. Raise the top leg toward the ceiling while keeping hips stable.",Stack shoulders over hips and lift the leg with control,4
46,Single-Leg Squat (To Bench),All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,6–10,7–9,90–120 sec,Builds unilateral leg strength and single leg balance,"1. Stand on one leg a short step in front of a bench with the other leg extended forward.
2. Bend the standing knee and push your hips back to lower toward the bench.
3. Lightly tap the bench with your glutes without sitting fully.
4. Push through the heel to stand tall and repeat on the same leg.",Sit back to the bench with the knee tracking toes,5
47,Pistol Squat Negatives,40–59,Weight gain,Strength,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,5–8,8–9,90–120 sec,Enhances eccentric strength and joint control in lower limbs,"1. Stand on one leg with the other leg extended forward and arms out for balance.
2. Slowly lower into a single-leg squat as far as you can control while keeping the extended leg off the floor.
3. Use the other foot to touch down or assist to return to standing and reset.",Lower slowly on one leg with chest up and knee aligned,4
48,Power Lunges,All Ages,Weight loss,Cardio,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Increases lower body power and coordination,"1. Start in a split stance with one foot forward and one back.
2. Explode upward by driving through the front heel into a jump.
3. Switch legs mid-air to land with the opposite leg forward.
4. Land softly in a lunge and repeat the explosive switch.",Step powerfully but land softly with the knee over the ankle,6.5
49,Lateral Bounds,40–59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,6–10,7–8,60–90 sec,Develops lateral power and reactive agility,"1. Stand on one foot with a slight knee bend and arms ready.
2. Push off laterally to jump to the opposite foot while swinging your arms.
3. Land softly on the opposite foot with a bent knee and immediately bound back.",Absorb each landing with bent knees and stable hips,6.5
50,Spiderman Pushups,40–59,Weight gain,Strength,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,6–10,7–8,60–90 sec,Improves upper body strength while enhancing thoracic mobility,"1. Start in a high plank with hands under shoulders.
2. Lower your chest toward the floor while driving one knee toward the same-side elbow.
3. Push back up and return the leg to the starting position.
4. Repeat the movement on the other side, alternating each rep.",Maintain a straight spine and move the pattern with control,6
51,Plank Jacks,All Ages,Weight loss,Cardio,Core,Bodyweight,Intermediate,Knee pain (general / chronic),3,20–30,6–8,30–60 sec,Enhances core stability and elevates heart rate for improved conditioning,"1. Get into a high plank on your hands with feet together and core braced.
2. Jump both feet out to the sides like a horizontal jumping jack.
3. Jump both feet back together while keeping hips level and core tight.
4. Continue the rhythmic jumps while maintaining a steady breathing pattern.",Keep core braced and hips level while jumping feet in and out,5
52,Donkey Kicks (Explosive),40–59,Weight gain,Strength,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,8–12,7–9,60–90 sec,Develops explosive hip extension and posterior chain power,"1. Start on all fours with knees under hips and hands under shoulders.
2. Drive one heel up and back explosively toward the ceiling, extending the hip.
3. Land softly by bringing the knee back under the hip with control.
4. Repeat the explosive drive on the same side or alternate sides.",Brace the core and drive from the glute without arching the lower back,5.5
53,Walking Lunge with Twist,All Ages,Weight gain,Mobility,Full,Bodyweight,Intermediate,Knee pain (general / chronic),3,10–12,7–8,60–90 sec,Builds leg strength while improving trunk rotation and balance during movement,"1. Stand tall with feet hip-width and hands together at chest.
2. Step forward into a deep lunge keeping the front knee over the ankle.
3. Rotate your torso toward the front leg while keeping hips squared.
4. Push through the front heel to stand and step forward into the next lunge.","Keep front knee stacked over the ankle and rotate the torso, not the hips",5.5
54,Box Step-Downs (High),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,6–8,45–60 sec,Improves eccentric control and single leg stability,"1. Stand on a high box with both feet hip-width and weight centered.
2. Shift your weight to one foot and hinge at the hip as you lower the opposite heel toward the floor.
3. Stop when the lowered foot lightly touches the ground and keep the standing knee soft.
4. Press through the top foot to return fully onto the box.",Control the descent by hinging at the hips and maintain a neutral spine,4
55,Kneeling to Standing,60+,Weight Maintenance,Mobility,Full,Bodyweight,Beginner,Knee pain (general / chronic),3,6–8,6–7,60–90 sec,Enhances lower body strength and functional mobility for everyday transfers,"1. Start kneeling with knees hip-width and torso upright.
2. Drive one foot into the floor and push through the heel to rise to a standing position.
3. Lower back down to the kneeling position with control.",Engage the core and drive through the heel to stand with a tall spine,3.5
56,Standing Knee-to-Chest,60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Knee pain (general / chronic),2,12–15,6–7,30–45 sec,Improves hip flexor mobility and balance,"1. Stand tall with feet hip-width and shoulders relaxed.
2. Pull one knee up toward your chest using your hands or hip flexors.
3. Lower the leg back down with control and switch to the other side.",Pull the knee to your chest while keeping the torso upright and back neutral,3.5
57,Lateral Step-ups,60+,Weight Maintenance,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Strengthens lateral hip muscles and improves side-to-side stability,"1. Stand beside a sturdy step with the nearest foot close to the edge.
2. Step up laterally onto the step with the lead foot and bring the trailing foot up fully.
3. Step down laterally with the same lead foot, then bring the trailing foot down.
4. Repeat the lateral step-ups while keeping an upright torso.",Maintain controlled movement and proper alignment throughout,5
58,Bunny Hops,All Ages,Weight loss,Cardio,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,12–15,7–9,60–120 sec,Develops quick lower-body power and coordination,"1. Stand with feet together and knees slightly bent.
2. Bend the knees and explode into a small forward hop keeping feet together.
3. Land softly with knees bent and reset for the next hop.",Land softly with knees slightly bent and chest upright to absorb impact,6
59,180-Degree Jump Squats,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,6–8,8–9,90–120 sec,Enhances rotational power and explosive leg strength,"1. Stand with feet shoulder-width and perform a shallow squat to load.
2. Explode upward into a jump while rotating your body 180 degrees in the air.
3. Land softly into a squat facing the opposite direction with knees bent.
4. Stand tall briefly then repeat the squat and rotate.",Explode through the hips and land softly with knees aligned over the toes while rotating,7.5
60,Deck Squats,40–59,Weight gain,Mobility,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,6–10,7–8,60–90 sec,Builds posterior chain strength and improves hip and knee mobility,"1. Stand with feet hip-width and toes slightly turned out.
2. Squat down and place hands on the floor, then lower your hips back to the ground in a controlled manner.
3. Use your hands and legs to sit back up to a standing position.
4. Reset your stance and repeat the sequence.",Maintain a neutral spine and control the descent and rise using hip drive,5
61,Archer Squats,40–59,Weight gain,Strength,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,6–10,7–8,60–90 sec,Builds unilateral leg strength and lateral stability,"1. Stand wide with one foot turned out and arms extended to the sides.
2. Shift weight to the bent-leg side and lower into a deep squat while straightening the opposite leg to the side.
3. Keep chest up and press through the bent foot to return to standing.
4. Repeat on the other side and alternate smoothly.",Keep chest tall and knees tracking over toes while driving weight through the heels,5
62,Weighted-feel Wall Sits,40–59,Weight gain,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,20–30,7–8,60–90 sec,Enhances quadriceps endurance and postural stability,"1. Stand with your back against a wall and feet hip-width forward about one foot.
2. Slide down until knees are bent about 90 degrees and hold a weight at your chest or on your thighs.
3. Press into your heels and maintain the position while feeling the load.",Press lower back into the wall maintain neutral spine and breathe steadily,3.5
63,Heiden Jumps,All Ages,Weight loss,Cardio,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,6–8,7–9,90–120 sec,"Improves lateral power, hip stability and reactive coordination","1. Stand on one leg with the other slightly off the ground and arms ready.
2. Explosively jump laterally off the standing leg, driving the opposite knee up.
3. Land softly on the same leg with a slight knee bend and absorb the impact.
4. Immediately explode again for repetitions, then switch legs.",Land softly with a tall chest and absorb force through bent hips and knees,7.5
64,Lunge Pulses,All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,12–15,6–7,30–60 sec,Increases glute and thigh activation and time under tension,"1. Step forward into a lunge with the front knee over the ankle and the back knee near the ground.
2. Pulse by lowering and raising a few inches while keeping your torso upright.
3. Press through the front heel to stand or switch legs and repeat.",Maintain controlled movement and proper alignment throughout,4
65,Downward Dog (Deep Pedaling),60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,12–20,6–7,30–45 sec,Enhances calf and hamstring flexibility while promoting shoulder endurance,"1. Start in downward dog with hips high, hands shoulder-width and feet hip-width.
2. Bend one knee and pedal the opposite heel toward the ground.
3. Switch legs by straightening the bent knee and bending the other knee deeply.
4. Continue alternating controlled pedals while keeping hips lifted and spine long.",Hinge from the hips keep spine long and alternate pressing heels while breathing steadily,3
66,Crab Walk,40–59,Weight Maintenance,Strength,Full,Bodyweight,Beginner,Knee pain (general / chronic),3,20–30,6–7,30–60 sec,"Strengthens posterior chain, shoulder stability and core coordination","1. Sit, place hands behind your hips and feet flat, then lift hips to a tabletop position.
2. Step one hand and the opposite foot backward a short distance to begin movement.
3. Continue stepping alternating hands and feet to walk backward or forward while keeping hips elevated.",Keep hips lifted and shoulders stabilized while taking controlled small steps,5
