Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for
Seated Hip Openers,60+,Weight Loss,Mobility,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,10–15,6–7,30–45 sec,Promotes hip flexibility and eases movement into daily activities,"1. Sit tall with feet flat on the floor.
2. Place the right ankle on the left knee.
3. Press the right knee gently outward to open the hip.
4. Return to start and switch to place the left ankle on the right knee.",Open the hip slowly while keeping the spine neutral,2.4,None
Standing Hip Extension (Short Range),40–59,Weight Gain,Mobility,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,10–15,6–8,30–60 sec,Improves posterior hip activation and standing balance,"1. Stand tall with feet hip-width and hands on a support if needed.
2. Squeeze the glute of one leg and lift the heel slightly off the floor, keeping the knee straight.
3. Hold the short lift for a count and lower with control.
4. Repeat on the other side.",Keep hips square and core braced as you extend the leg,2,None
Shoulder Rolls,All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Knee pain (general / chronic),3,10–15,6–7,20–40 sec,Promotes shoulder mobility and upper back relaxation,"1. Sit or stand tall with arms relaxed at your sides.
2. Lift both shoulders toward your ears and roll them back in a smooth arc.
3. Continue the rolls and then reverse direction.",Roll shoulders slowly with controlled range and upright posture,4,None
Neck Side Glide,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Knee pain (general / chronic),2,8–12,6–7,20–40 sec,Enhances lateral neck mobility and segmental movement awareness,"1. Sit or stand tall with eyes forward.
2. Keep your chin level and glide your head straight to one side, using a hand to guide if needed.
3. Return to center and repeat on the other side.",Keep chin tucked and glide the neck laterally with slow controlled movement,4,None
Standing Pelvic Tilts,40–59,Weight Loss,Mobility,Core,Bodyweight,Beginner,Knee pain (general / chronic),3,10–15,6–7,30–60 sec,Improves pelvic control and low back movement coordination,"1. Stand with feet hip-width and knees slightly bent.
2. Tuck your pelvis under by contracting your lower abdominals and flattening your lower back.
3. Release to a neutral pelvis and repeat.",Engage lower abs and tilt the pelvis with slow controlled motion,2.2,None
Seated Spinal Flex-Extend,All Ages,Weight Gain,Mobility,Core,Bodyweight,Beginner,Knee pain (general / chronic),3,8–12,6–7,30–60 sec,Encourages spinal mobility and controlled flexion extension sequencing,"1. Sit tall on a chair with feet flat and hands on thighs.
2. Round your spine and tuck your chin to your chest to flex.
3. Arch your spine and lift your chest to extend.
4. Move slowly between the two positions.",Start from the thoracic spine and move with a long neutral neck,4,None
Wrist Mobility Flow,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Knee pain (general / chronic),2,10–15,6–7,20–40 sec,Increases wrist range of motion and forearm coordination,"1. Extend both arms forward at shoulder height with palms down.
2. Bend your wrists to point fingers up, then bend them to point fingers down in a controlled motion.
3. Rotate your palms inward and outward to complete the flow.",Keep elbows soft and move wrists through a full comfortable range with control,4,None
Standing Calf Pump,40–59,Weight Loss,Mobility,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,12–20,7–8,30–60 sec,Enhances calf muscle activation and lower leg circulation,"1. Stand with feet hip-width and hands on a support if needed.
2. Rise onto the balls of both feet and squeeze your calves.
3. Lower your heels back down with control and repeat.",Keep knees slightly bent and control heel rise and descent with steady tempo,2.6,None
Breathing with Arm Raise,All Ages,Weight Maintenance,Mobility,Full,Bodyweight,Beginner,Knee pain (general / chronic),3,6–8,6–7,30–45 sec,Improves diaphragmatic breathing and ribcage expansion with overhead reach,"1. Stand tall with arms at your sides.
2. Inhale and raise both arms overhead in a smooth motion.
3. Exhale and lower your arms back to your sides.",Inhale to raise arms and exhale to lower while keeping ribs down and core engaged,2,None
Seated Hamstring Stretch,60+,Weight Maintenance,Flexibility/Stretching,Lower,Bodyweight,Beginner,Knee pain (general / chronic),2,1–2,6–7,60–90 sec,Increases hamstring flexibility and posterior thigh extensibility,"1. Sit on the edge of a chair with one leg extended and heel on the floor.
2. Hinge at your hips and lean forward with a long spine until you feel a stretch in the back of the thigh.
3. Hold briefly and sit back upright.",Maintain controlled movement and proper alignment throughout,4,None
Standing Calf Stretch,All Ages,Weight Loss,Flexibility/Stretching,Lower,Bodyweight,Beginner,Knee pain (general / chronic),2,1–2,6–7,60–90 sec,Promotes ankle dorsiflexion range and gastrocnemius flexibility,"1. Stand facing a wall and place your hands on it at shoulder height.
2. Step one foot back with the heel down and the knee straight.
3. Lean forward into the wall until you feel a stretch in the back calf.",Maintain controlled movement and proper alignment throughout,4,None
Chest Opener (Wall),40–59,Weight Gain,Flexibility/Stretching,Upper,Bodyweight,Beginner,Knee pain (general / chronic),2,20–30,6–7,30–60 sec,Improves chest flexibility and posture,"1. Stand facing a wall at arm's length and place both forearms on the wall at shoulder height.
2. Step one foot forward and lean your chest toward the wall while keeping a long spine.
3. Hold the stretch and breathe evenly.
4. Step back to release.",Keep shoulder blades gently retracted and avoid arching the lower back,4,None
Neck Flexion Stretch,60+,Weight Maintenance,Flexibility/Stretching,Upper,Bodyweight,Beginner,Knee pain (general / chronic),2,10–15,6–7,30–45 sec,Increases neck mobility and reduces stiffness,"1. Sit or stand tall and relax your shoulders.
2. Lower your chin slowly toward your chest until you feel a gentle stretch at the back of the neck.
3. Hold the position and breathe.
4. Return your head to neutral.",Tuck the chin slightly and keep the shoulders relaxed,4,None
Overhead Side Stretch,All Ages,Weight Loss,Flexibility/Stretching,Upper,Bodyweight,Beginner,Knee pain (general / chronic),2,20–30,6–7,30–60 sec,Enhances lateral spine mobility and side torso flexibility,"1. Stand feet hip-width apart and raise your right arm overhead.
2. Reach your right arm up and lean your torso to the left while keeping hips facing forward.
3. Hold the side stretch and breathe evenly.",Lengthen through the side body and avoid shrugging the shoulders,2,None
Seated Figure-4 (Shallow),40–59,Weight Maintenance,Flexibility/Stretching,Lower,Bodyweight,Beginner,Knee pain (general / chronic),2,20–30,6–8,30–60 sec,Improves hip external rotation and glute flexibility,"1. Sit tall on a chair and cross your right ankle over your left knee.
2. Flex the right foot and keep your hips level.
3. Hinge slightly forward from the hips until you feel a shallow glute stretch.
4. Hold and then switch sides.",Sit tall with a neutral spine and hinge from the hips without rounding,4,None
Seated Spinal Stretch,60+,Weight Gain,Flexibility/Stretching,Core,Bodyweight,Beginner,Knee pain (general / chronic),2,20–30,6–7,30–60 sec,Promotes spinal mobility and gentle trunk lengthening,"1. Sit upright with feet flat and hands on your knees.
2. Rotate your torso to the right using your left hand on the outside of your right thigh and your right hand behind you.
3. Lengthen the spine as you hold the twist.",Keep the spine long and hinge forward from the hips while keeping shoulders relaxed,4,None
Standing Quad Stretch (Supported),All Ages,Weight Maintenance,Flexibility/Stretching,Lower,Bodyweight,Beginner,Knee pain (general / chronic),2,20–30,6–8,30–60 sec,Increases quadriceps flexibility and knee range of motion,"1. Stand beside a wall or sturdy chair and place one hand on the support.
2. Bend your right knee and grab your right ankle with your free hand.
3. Pull your heel toward your glute while keeping knees close and hips level.
4. Hold and then switch sides.",Keep knees aligned and pelvis neutral while gently pulling the heel toward the glute,4,None
Diaphragmatic Breathing,60+,Weight Maintenance,Flexibility/Stretching,Core,Bodyweight,Beginner,Knee pain (general / chronic),3,6–10,6–7,15–30 sec,Improves breath control and promotes relaxation,"1. Sit or lie down in a comfortable position and place one hand on your chest and one on your belly.
2. Inhale slowly through your nose and let your belly rise while keeping your chest still.
3. Exhale slowly through your mouth and let your belly fall.",Breathe deeply into the belly with relaxed shoulders and minimal chest movement,4,None
Full Body Reach Stretch,All Ages,Weight Loss,Flexibility/Stretching,Full,Bodyweight,Beginner,Knee pain (general / chronic),2,8–10,6–7,30–60 sec,Enhances overall flexibility and full body lengthening,"1. Stand with feet hip-width apart and raise both arms overhead.
2. Reach upward through your fingertips and lengthen your entire body while lifting slightly onto your toes.
3. Hold the full-body reach and breathe.
4. Lower your arms and heels back to the floor.",Reach overhead with core engaged and avoid arching the lower back,2,None
Single-Leg Stand (Support),40–59,Weight Loss,Balance & Stability,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,20–30,7–8,30–60 sec,Improves balance and ankle stability with light support,"1. Stand near a chair or wall and place a hand on it for light support.
2. Shift your weight onto your left leg and lift your right foot a few inches off the ground.
3. Keep your hips level and maintain an upright posture while you hold the position.",Maintain controlled movement and proper alignment throughout,4,None
Tandem Stance Hold,60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,20–30,7–8,30–60 sec,Challenges balance and coordination through narrowed base of support,"1. Stand and place one foot directly in front of the other so the heel of the front foot touches the toes of the back foot.
2. Keep your hips square and maintain an upright posture with eyes forward.
3. Hold the tandem stance steady and breathe evenly.","Stack feet heel-to-toe, keep hips level, and maintain steady breathing",4,"Hypertension, Coronary Artery Disease"
Standing Heel Raises,All Ages,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,12–15,6–8,30–60 sec,Strengthens calf muscles and improves ankle stability,"1. Stand with feet hip-width and hands on a stable surface for light support.
2. Rise onto the balls of your feet by lifting your heels upward.
3. Pause at the top and feel your calves engaged.
4. Lower your heels slowly back to the floor.",Keep a neutral spine and lift heels slowly with controlled movement,2.8,None
Weight Shift + Reach,40–59,Weight Maintenance,Balance & Stability,Full,Bodyweight,Beginner,Knee pain (general / chronic),3,10–12,6–7,30–45 sec,Enhances dynamic balance and lateral weight transfer,"1. Stand with feet shoulder-width and shift weight onto one leg.
2. Reach the opposite arm forward or to the side while keeping hips level.
3. Pause briefly while maintaining balance on the standing leg.
4. Return to center and repeat on the other side.",Shift weight through the standing foot and reach without rotating the hips,3,None
Seated Balance Reach,60+,Weight Loss,Balance & Stability,Core,Bodyweight,Beginner,Knee pain (general / chronic),3,12–15,6–7,30–45 sec,Improves seated core control and arm reach coordination,"1. Sit tall on a chair with feet flat and hands on thighs.
2. Lift one foot slightly off the floor and reach forward with the opposite arm.
3. Hold briefly, return foot down, and switch sides.","Sit tall, brace your core, and reach while keeping hips level",4,None
Wall-Supported March Hold,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,20–30,6–8,45–60 sec,Promotes single leg balance and lower limb endurance,"1. Stand facing a wall and place hands lightly on it for support.
2. Lift one knee to hip height and hold while keeping your torso upright.
3. Lower the foot slowly and repeat with the other knee.
4. Maintain steady breathing throughout the marches.","Stand upright, march slowly with controlled knee lift and relaxed shoulders",2,"Hypertension, Coronary Artery Disease"
Standing Arm Reach Balance,40–59,Weight Gain,Balance & Stability,Upper,Bodyweight,Beginner,Knee pain (general / chronic),3,8–12,6–7,30–45 sec,Enhances postural control and shoulder mobility during balance tasks,"1. Stand on one leg and extend both arms forward at shoulder height.
2. Hold your balance while keeping hips level and core engaged.
3. Lower the lifted foot and switch to the other leg.",Engage your core and reach with controlled arm movement while maintaining balance,3,None
Sit-to-Stand Hold (Partial),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Builds functional leg strength and improves transitional movement control,"1. Sit at the edge of a chair with feet hip-width and hands on the seat.
2. Lean forward, press through your feet, and lift your bottom a few inches off the seat.
3. Hold the partial stand while keeping your back straight and shoulders relaxed.
4. Lower back down with control to the seated position.","Drive through your heels, keep chest up, and pause with knees slightly bent",2.5,"Hypertension, Coronary Artery Disease"
Eyes-Closed Stance (Support),All Ages,Weight Loss,Balance & Stability,Full,Bodyweight,Beginner,Knee pain (general / chronic),3,10–20,7–8,45–60 sec,Challenges sensory integration to improve balance confidence,"1. Stand with feet hip-width and place one hand lightly on a stable surface.
2. Close your eyes and maintain an upright posture while feeling the support.
3. Open your eyes and step away from the support when you are ready.","Distribute weight evenly, lightly touch the support, and breathe steadily with eyes closed",4,None
Core Brace Standing,40–59,Weight Maintenance,Balance & Stability,Core,Bodyweight,Beginner,Knee pain (general / chronic),3,10–15,6–8,45–60 sec,Increases core stability and supports upright posture,"1. Stand tall with feet shoulder-width and place hands on hips.
2. Draw your belly button toward your spine to brace the core.
3. Hold the brace while maintaining normal posture and steady breathing.","Brace your core, maintain a neutral spine, and avoid holding your breath",2.5,"Hypertension, Coronary Artery Disease"
Wall Push-Up Hold,All Ages,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,8–12,7–8,60–90 sec,Develops upper body strength and scapular control,"1. Stand facing a wall and place hands shoulder-width on the wall.
2. Bend your elbows to lower your chest toward the wall in a controlled manner.
3. Hold halfway with elbows at about 90 degrees while keeping body straight.
4. Push back to the starting position with control.",Keep a straight line from head to heels and control the push with steady breathing,3,Hypertension
Seated Chest Squeeze,60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,12–15,6–7,30–45 sec,Strengthens chest and improves shoulder blade adduction control,"1. Sit tall with feet flat and hold a small ball or pillow between your hands at chest height.
2. Press the hands together firmly to squeeze the object and engage your chest.
3. Hold the squeeze for a count, then release with control.","Sit upright, gently squeeze shoulder blades together, and exhale as you contract",2.3,Hypertension
Standing Arm Press Down,40–59,Weight Loss,Strength,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,8–12,6–8,60–90 sec,Improves shoulder and triceps endurance and scapular control,"1. Stand tall with feet hip-width apart and arms at shoulder height, palms facing down.
2. Press palms downward to straighten the elbows and extend the arms.
3. Slowly return to the start position and repeat.",Brace your core and press down with controlled scapular movement,2.5,None
Wall Shoulder Isometric,All Ages,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,20–30,6–7,60–90 sec,Enhances shoulder stability and postural alignment through isometric activation,"1. Stand side-facing a wall and place your forearm against the wall at shoulder height.
2. Press the forearm into the wall without moving your shoulder to create tension.
3. Hold the press isometrically, then relax and repeat.",Press your palm into the wall keeping shoulders down and spine neutral,2.8,Hypertension
Seated Overhead Reach Hold,60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,15–30,6–7,45–60 sec,Promotes thoracic extension and overhead range of motion,"1. Sit tall on a chair with feet flat and hands by your sides.
2. Reach both arms straight overhead with palms facing each other.
3. Hold the overhead reach, then lower the arms back to the sides.",Sit tall and reach overhead without arching your lower back,2,Hypertension
Standing Biceps Tension Curl,40–59,Weight Loss,Strength,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,8–12,7–8,60–90 sec,Builds elbow flexor endurance and increases upper arm muscle activation,"1. Stand tall with arms by your sides and palms facing forward.
2. Curl the hands toward the shoulders while keeping the elbows close to the torso.
3. Squeeze the biceps at the top, then lower the hands slowly back to the start.",Keep elbows by your sides and curl with slow controlled tension,2.5,Hypertension
Standing Core Brace,All Ages,Weight Maintenance,Strength,Core,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,20–30,6–7,30–60 sec,Improves core stability and enhances balance during functional tasks,"1. Stand with feet hip-width apart and knees soft.
2. Draw the navel toward the spine and lift the pelvic floor to brace the core.
3. Maintain a neutral spine and hold the brace while breathing steadily.",Draw your belly button to your spine and breathe evenly,3,Hypertension
Seated Triceps Press,60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,8–12,7–8,60–90 sec,Strengthens triceps and improves elbow extension control,"1. Sit upright with one hand supporting the elbow behind the head.
2. Straighten the top arm by pressing the hand upward to extend the elbow.
3. Lower the hand back behind the head with control and repeat.",Keep upper arm vertical and extend at the elbow with control,3,None
Wall Plank (High Angle),40–59,Weight Loss,Strength,Core,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,20–40,6–8,60–90 sec,Increases core endurance and shoulder stability with reduced joint loading,"1. Stand facing a wall and place both hands flat on the wall at shoulder height.
2. Step the feet back until your body forms a straight line from head to heels.
3. Keep the core tight and hold the angled plank position.
4. Walk the feet forward to return to standing.",Hold a straight line from head to heels and avoid letting hips sag,2.8,"Hypertension, Coronary Artery Disease"
Standing Isometric Row Pull,All Ages,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,10–20,7–8,60–90 sec,Enhances upper back strength and promotes scapular retraction for better posture,"1. Stand tall with knees slightly bent and elbows bent at 90 degrees.
2. Pull the elbows straight back while squeezing the shoulder blades together.
3. Hold the contracted position isometrically, then release slowly.",Squeeze shoulder blades together and resist rotation in your torso,3.2,"Hypertension, Coronary Artery Disease"
Seated March (Low Lift),60+,Weight Maintenance,Cardio,Lower,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,20–30,6–7,30–45 sec,Improves hip flexor activation and boosts circulation with low impact movement,"1. Sit tall with feet flat and hands on the sides of the chair.
2. Lift one knee a few inches off the seat while keeping the torso stable.
3. Lower that foot and alternate lifting the other knee in a marching rhythm.",Keep pelvis still and lift each knee slowly without rocking,2.6,None
Standing Arm Swings,All Ages,Weight Loss,Cardio,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,20–30,6–7,30–45 sec,Enhances shoulder mobility and increases blood flow through dynamic arm movement,"1. Stand tall with feet hip-width apart and arms relaxed by your sides.
2. Swing both arms forward and up, then back and down in a controlled motion.
3. Keep a slight bend in the elbows and maintain a steady, rhythmic pace.",Swing your arms with control maintaining a neutral spine and soft knees,3,None
Side Toe Tap (Minimal Bend),40–59,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,12–15,6–7,30–45 sec,Improves lateral balance and coordination,"1. Stand with feet hip-width and knees slightly bent.
2. Shift weight onto one foot and tap the other toe to the side with a minimal bend.
3. Return the tapping foot to center and keep weight steady.
4. Repeat to the other side in a controlled rhythm.",Keep hips level and core braced as you tap with a slight knee bend,2.6,None
Seated Punch Reach,60+,Weight Gain,Cardio,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,12–15,6–7,30–45 sec,Enhances upper body mobility and arm endurance,"1. Sit tall with feet flat and hands at chest.
2. Extend one arm forward in a quick punch, reaching fully.
3. Pull the arm back and repeat on the other side at steady pace.",Sit tall with shoulders relaxed and extend punches with controlled breathing,2.2,None
Standing Weight Shift Flow,All Ages,Weight Maintenance,Cardio,Lower,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,10–12,6–8,45–60 sec,Improves balance and controlled weight transfer,"1. Stand tall with feet hip-width and soft knees.
2. Shift weight slowly onto one foot and let the hips move slightly.
3. Transfer weight to the other foot while swinging the arms gently.
4. Continue shifting back and forth in a smooth flowing motion.",Shift weight smoothly through the midfoot keeping knees soft and movements controlled,3,None
Seated Arm + Core March,60+,Weight Loss,Cardio,Core,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,12–16,6–8,45–60 sec,Engages core while improving seated coordination and light aerobic activity,"1. Sit tall with feet flat and hands at sides or in front.
2. Lift one knee toward chest while pressing the opposite hand forward or up.
3. Lower the leg and switch to the other knee while alternating the arm.
4. Maintain an upright torso and steady breathing throughout.",Maintain an upright spine and brace the core as you lift each arm with control,2.8,None
Standing Heel Lift Pulse,40–59,Weight Maintenance,Cardio,Lower,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,15–20,6–7,30–45 sec,Strengthens calf muscles and enhances ankle stability,"1. Stand with feet hip-width and hands for balance if needed.
2. Rise onto the balls of both feet to lift the heels.
3. Pulse up and down in small controlled movements and lower back slowly.",Maintain controlled movement and proper alignment throughout,2.4,None
Arm Raise Breathing,All Ages,Weight Gain,Cardio,Full,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,8–12,6–7,30–45 sec,Combines deep breathing with shoulder mobility to promote relaxation,"1. Stand or sit tall with arms at sides.
2. Inhale and raise both arms overhead until comfortable.
3. Exhale and lower the arms back to the sides with control.",Coordinate breath with the raise exhaling on the lift and keep shoulders down,4,None
